sepalLength name  year  radius
6 GrandMasterFlash  1994  15
6 madonnaMaterialGirl 1984  15
6 badReligion 1982  15
6 deadKennedys  1981  15
6 u2  1991  15
6 bruceSpringsteen  1984  15
6 michaelJackson  1982  15
6 publicEnemy 1989  15
6 mcHammer  1990  15
6 badReligion2  1994  15
6 rem 1991  15
6 michaelJackson2 1991  15
6 spiceGirls  1995  15
6 greenDay  1994  15
6 aerosmith 1993  15
6 britneySpears 1990  15
6 mariahCarey 1997  15
6 ladyGaga  2008  15
6 amyWinehouse  2006  15
6 eminem  2002  15
6 radiohead 2007  15
6 kanye 2008  15
6 arcadeFire  2010  15
6 asapLanaDelRey  2012  15
6 pharrell  2014  15
6 macklemore  2012  15
